,RPneg_BATCirc_391,RPneg_BATCirc_403,RPneg_BATCirc_453,RPneg_BATCirc_395,RPneg_BATCirc_405,RPneg_BATCirc_415,RPneg_BATCirc_463,RPneg_BATCirc_431,RPneg_BATCirc_435,RPneg_BATCirc_439,RPneg_BATCirc_411,RPneg_BATCirc_425,RPneg_BATCirc_445,RPneg_BATCirc_383,RPneg_BATCirc_407,RPneg_BATCirc_417,RPneg_BATCirc_381,RPneg_BATCirc_393,RPneg_BATCirc_419,RPneg_BATCirc_459,RPneg_BATCirc_413,RPneg_BATCirc_447,RPneg_BATCirc_avg,RPneg_BATCirc_427,RPneg_BATCirc_433,RPneg_BATCirc_437
n_188/321.0421mz/6.48min 7;7'-Dihydroxy-6;8'-bicoumarin,0.70820178,-0.48763207,-0.56720425,-0.80526749,-0.75766518,-0.68741531,-0.43477357,0.10118824,0.18494353,0.15306011,-0.98106037,0.888561,-1.36631701,-0.03401211,0.50608291,0.07005766,-0.6173348,-0.57980961,0.52069665,-0.14838864,0.49425057,-1.41374114,-0.19949712,0.23058649,1.86210374,3.36038598
n_24/174.0395mz/1.30min N-Acetyl-L-aspartic acid,-1.25268521,0.16838046,0.40378218,0.10209264,-1.51480704,-0.63375266,-2.25414611,-0.20116491,-0.41918927,0.15735947,-1.18152918,-0.06454321,-0.51214204,0.35238201,-0.15928417,0.16536818,-0.31652845,-0.01573763,-0.95107758,0.20318295,1.97594611,1.28191581,1.65661658,1.47710547,0.18449308,1.34796252
n_315/190.0530mz/4.91min N-Acetyl-L-methionine,-0.1064391,-0.376231,-0.3685209,-2.341433,-1.0418659,-0.1183537,-0.3927307,0.606066,0.6513984,0.2587317,-0.8695326,1.3342315,-2.0374237,0.1433058,2.0745635,-0.8997613,-0.9747749,0.515672,0.9517991,-0.4859647,1.3436029,0.2694411,0.8217468,0.3120752,0.2652787,0.4651187
n_47/252.0531mz/1.19min N-Salicyloylaspartic acid,-0.157572156,-0.274943758,1.04591777,-0.732426996,0.470641298,-0.607571712,1.31504132,-2.090821772,-0.956620905,-2.013110979,-1.034388704,-1.717842487,-0.969891031,1.335528847,0.960436608,0.95702656,0.959603932,0.410312145,0.739984927,0.712764698,-0.000201419,0.344873612,0.183551067,-0.028054396,0.387578424,0.760185107
n_14/437.2123mz/4.31min Quinapril,-0.28361959,0.53190809,-0.75380556,-0.26208524,-0.04139339,-0.88826945,-3.1143206,0.99003731,1.00251157,1.17661608,0.57898424,1.03425529,1.00447322,-0.938899,-0.69829284,-0.42080979,-0.85429268,-1.28150603,-0.32523884,-0.66034456,1.00828358,0.80146913,0.91262631,0.57590284,0.32528788,0.58052201
n_30/540.0534mz/1.24min,0.9158466,1.0389074,1.1550805,1.082023,0.9054482,0.9650818,1.1319238,0.8394455,0.9816829,0.871631,0.9281085,0.8880113,0.7778516,-0.8736571,-1.5521379,-1.2523959,-0.5026681,-0.7252958,-1.1115933,-1.1577631,-0.8227242,-1.0477234,-0.925619,-0.6990864,-0.8468224,-0.9635555
n_60/189.0405mz/1.68min 3-Dehydroquinate,0.03403978,-1.12921257,-1.5078479,-0.85809464,-1.19392013,-1.41587112,-1.90918866,-0.28138071,-0.38479165,0.08734732,0.14037943,0.40343879,-0.32175782,0.66578324,0.59216096,0.39740254,-0.15744904,-1.10154358,-0.14554204,0.23671631,0.79268569,1.36617547,1.08192583,1.45622255,1.79528151,1.35704043
n_585/102.0555mz/1.58min Dimethylglycine,0.90132766,0.5249374,-0.10861935,0.88596023,0.16393674,0.06968489,-0.77672957,-1.33775952,-0.14200951,1.71701785,0.36771297,1.90939564,1.03944359,-0.9147036,-0.21234997,-0.33650955,-1.85581003,-0.81652605,-0.02320521,0.30986118,-1.18370649,-1.3319526,-1.26013265,1.39553978,0.04253228,0.97266389
n_95/459.1941mz/4.31min,-1.005378864,0.506516177,-1.071190145,-1.102681192,-0.42922629,0.000841376,-0.516502263,1.292006718,1.383172545,1.234134277,0.33101427,0.868087707,1.08167832,-1.390745908,-0.412903617,-0.623965769,-1.421163378,-1.497971828,-0.655829562,-1.295834688,1.192225062,1.130464499,1.160909988,0.619286156,-0.067932577,0.690988987
n_8/133.0138mz/1.12min L-Malic acid,-1.332108238,0.141854014,-0.009871857,-0.487207235,0.36773548,-0.39266466,-0.529330894,0.545713774,0.595085319,0.519352801,-3.201100499,-1.638968347,-1.878587653,0.798317262,0.710256781,0.284455578,0.489149445,0.602571776,1.029139423,0.924635283,0.173648911,0.643683808,0.398432953,0.183111592,0.339345481,0.723349702
n_754/733.0521mz/1.23min,-0.0911069,-0.49467987,0.14022309,-0.26516487,0.2982309,-1.10003379,-0.53859892,-0.08943584,0.89033579,-0.92957848,-2.35743788,-1.131995,-1.19161963,-0.3453222,0.25811638,2.10058525,1.26723332,-0.79667418,-0.12327656,1.8086994,1.30115482,0.53722694,0.92104373,0.12851447,0.17834507,-0.37478506
n_81/257.0265mz/1.74min Lofexidine,0.007781858,0.932833776,1.37452581,0.967201357,1.337612695,0.763866927,1.560177693,-0.186035599,0.86573965,0.423381271,0.744247322,0.19833495,0.314576393,-0.092546424,-0.488307974,-1.15851395,0.29132222,-1.645047807,0.019244395,-0.892770056,-2.674368435,-0.460636425,-1.418224577,-0.319548183,-0.033713376,-0.431133509
n_221/91.0289mz/1.33min,1.202960411,1.316083734,0.730893772,-0.547864341,1.451167186,-1.351971741,1.014896642,1.39107703,1.306160923,1.184068418,-1.561503159,-1.672992527,-1.098870574,0.132789302,0.137716669,0.200147409,-0.354200685,-0.513372387,-1.031773348,-0.481998951,0.075847267,0.446771075,0.253837871,-1.005225399,-1.221479466,-0.003165131
n_555/248.0225mz/4.06min Norepinephrine sulfate,-0.36244698,-0.67113908,-0.60268966,0.21094182,-0.38027947,-0.53470729,-0.47424973,0.51838191,-1.96254326,-1.85260952,-0.14108168,-0.37128423,-0.5697095,1.52562356,0.74172827,1.16839999,1.26327938,-1.14322466,0.08007369,0.34155205,1.07453027,1.42957737,1.24904637,0.32547367,-1.61771667,0.75507335
n_197/358.0898mz/0.99min Avenanthramide 2s,0.52314326,-0.35700378,-0.76386417,-0.46247404,-2.47758292,-0.5031677,-0.5538338,-0.97148662,-0.6736641,-0.75654017,-0.15803533,-0.76498496,-0.78337312,2.1042134,1.29110905,0.8492374,-1.05445144,0.07019915,1.34343596,0.53154173,1.40029094,0.42484995,1.00434757,0.73342811,-0.31497745,0.31964308
n_109/180.0650mz/1.65min L-Tyrosine,1.99456031,0.79551701,-0.0173128,-0.35525199,1.5154098,-0.4302678,-0.18871924,-0.34651458,-1.01304469,-0.08691037,-0.04535081,-0.75198101,-1.29012213,1.30506563,1.02471627,0.98927996,0.52774954,0.26349059,0.42949948,-0.11051012,0.50969919,0.2311037,0.37034068,-1.42820874,-1.85152216,-2.04071575
n_23/89.0995mz/1.33min,1.18487164,1.42616837,0.74794242,-0.6854868,1.53355662,-1.22537902,1.03015537,1.42004821,1.35137927,1.17642186,-1.42085843,-1.56709474,-0.96776178,0.14680434,0.08157626,0.13747314,-0.16053343,-0.67759551,-0.83218601,-0.53943815,-0.07340005,0.41598448,0.16434148,-1.10462982,-1.4209673,-0.14139241
n_694/485.0993mz/1.08min,-0.007878651,0.174852366,0.015674961,-0.758614274,-0.931850115,-0.545346307,-0.692490312,-0.684839871,-0.806152452,-0.731875629,-0.30134605,-0.360497323,-0.776362896,0.944847384,-1.047797806,0.562638778,2.059960032,1.464035996,0.626570282,2.761498411,0.089661285,-0.66625834,-0.253687917,-0.402362796,-1.058626739,1.326247983
n_125/572.5291mz/4.49min,0.045197316,0.766552663,1.354314853,0.892978873,0.723660742,-0.989076332,0.958973122,1.277528031,-0.229073282,-0.361093968,0.351704434,0.231625056,0.47509657,-0.860381158,0.081948452,-0.100753184,0.343696499,-2.743267415,0.145277881,-0.478823191,-0.795386401,0.752997548,-0.027581472,0.778406007,-0.009637479,-2.584884165
n_785/310.0001mz/3.47min,0.35263878,1.00650196,-0.65129826,-0.72395972,0.14538931,-1.92898086,-0.60251013,1.85735418,0.49027229,0.7866065,0.01042796,-0.76651528,-1.20786218,1.00621126,1.49335205,0.54013617,-0.96942236,0.55881201,-1.02758412,-0.39337817,0.57658607,1.44708553,0.98979346,-0.77882798,-1.10274806,-1.10808041
n_218/337.0422mz/1.65min Imidazoleacetic acid ribotide,-0.75316179,-0.97741873,-0.98490204,-1.07028107,-1.52765049,-0.95394653,-1.65536036,1.04175996,0.56069652,1.88014864,0.45452545,1.09571634,1.35507314,-0.01508207,-0.5202561,-0.08007099,0.41367844,2.08489587,-0.78868241,-0.55062978,0.64887911,-0.23697377,0.24526604,0.87877187,-0.37583992,-0.16915533
n_578/497.0632mz/1.75min,-0.16425791,-0.29213412,-0.21302363,0.58259157,-0.46956897,-0.22953694,0.33863052,-0.07381524,-0.56246549,-0.34393089,-0.82957893,-0.61938311,0.65326084,-1.15974484,0.50510704,-1.04449008,-1.64122045,-0.98956042,0.03618324,-0.87999776,2.29926455,0.58802101,1.58500541,2.585772,0.44186826,-0.10299566
n_17/346.0541mz/1.12min Adenosine monophosphate,0.5557565,-0.1978244,0.7800505,1.2179783,-0.2132526,1.5632272,1.0705761,-1.2604241,-0.5220371,-0.887975,1.5031347,1.064684,1.1573546,-0.5176689,-0.2805516,-1.2697507,0.405128,0.1384119,-0.118838,-0.5859697,-1.3714379,-1.2029251,-1.2926402,0.8912063,0.9225713,-1.548784
n_67/187.0067mz/5.74min p-Cresol sulfate,0.33638299,0.76085709,-0.14754659,0.69242783,0.51703742,0.63803504,0.18178627,-2.28096992,2.02662402,-1.54633061,0.2231976,0.26408653,-0.00946104,0.24848089,0.75180797,1.04437024,0.74643787,0.83516485,0.516943,0.56068397,-1.21648945,-1.06381882,-1.14263137,-0.96825041,-1.66694327,-0.30188211
n_19/267.0722mz/2.13min Inosine,-0.2076311,0.2564941,-1.5921525,-0.5872266,0.2851649,-0.8796561,-1.3231585,-1.0471612,-1.8164005,-1.4562612,-0.251016,0.1159456,0.2744912,-0.7697201,1.0274855,1.1026037,0.7230713,-0.3633079,-0.906598,1.207133,1.2856926,0.8825884,1.0930689,1.452425,0.5388022,0.9553235
n_10/115.0036mz/1.62min Fumaric acid,-1.60703221,0.24780972,0.03482212,0.30737922,0.29712601,0.32904738,-0.61985814,0.28117483,0.39396163,0.05593041,-3.30042879,-1.39122647,-1.76859237,0.74186738,0.84906113,0.33849795,0.60515813,0.80350786,1.27077478,0.81916591,-0.29087492,0.48609236,0.10605111,0.05180497,0.54207983,0.41670015
n_385/352.0623mz/4.35min,-0.99161372,1.43689073,0.20645389,0.27685836,1.16377873,0.4389014,1.30367229,0.31138613,-0.3090286,0.08565244,0.12787173,0.76689093,-0.40384048,-1.98666353,-0.29034555,-0.37678133,-1.81330022,-0.23508495,0.22253992,1.6538899,-0.42316736,-1.96676671,-1.11246416,0.63469794,0.00290591,1.27666632
n_55/335.0480mz/1.30min,0.135164965,-0.38092443,-0.208591786,-0.07306571,0.368354534,-0.138266482,0.02561798,-1.441604872,-1.557854541,-2.18790896,-0.749138729,-0.941733643,-0.766681901,0.507551927,1.47135449,1.888791396,0.892799776,1.414661816,0.96799221,1.280239662,0.467773889,-1.251059373,-0.192315694,-0.009669076,0.192193314,0.286319237
n_449/425.0795mz/0.96min Cysteineglutathione disulfide,0.74003715,-1.02311188,-0.67039527,0.24208461,0.12808878,-0.33045114,0.28551995,-0.97978953,-0.31422187,-1.03736743,-1.41527794,-0.24188727,-2.66744715,0.10336652,0.50410717,1.37132748,0.42035339,1.06140849,-0.64431521,0.71417193,1.46934569,-0.34542296,0.69607251,2.053653,-0.15340428,0.03355527
n_105/472.0577mz/1.22min,-0.09599478,-0.67142288,0.19571675,0.37160843,0.78278955,0.43159995,-1.04623735,-2.41323443,-2.17018708,-2.22010941,1.28797325,0.60042822,0.60693077,-0.3663304,-0.021143,0.66458986,-0.12102631,0.29161131,0.33466896,0.83476937,1.09983822,-0.07696813,0.58191541,0.77559506,0.84975902,-0.50714037
n_717/442.9851mz/1.39min 6-Mercaptopurine ribonucleoside 5'-diphosphate,-0.609538301,0.501572422,0.512520334,-1.256982286,0.018414945,-1.978716202,-0.72648,0.002040987,0.964633043,-0.980905959,-0.760182609,-2.401447948,-0.03318782,-0.173486852,1.272497455,0.112361962,0.99937478,1.880866752,1.453465546,0.689883389,-0.602687093,0.235583898,-0.203492841,0.732757998,0.232756757,0.118377642
n_600/145.0134mz/1.28min Oxoglutaric acid,0.187951208,-0.884782207,0.165107526,1.349890477,-0.764881961,1.21215739,-0.131613304,-0.712508114,-0.636080951,-0.802539692,0.72379226,1.029601791,0.942708508,-0.41124445,-0.32181742,0.094017234,0.001149463,0.495561904,0.875565554,-0.160445477,-2.468157006,-0.218543105,-2.425413985,0.641497065,1.018778398,1.200248896
n_44/186.0444mz/1.33min,1.17605174,1.35002167,0.78583803,-0.76161653,1.52632399,-1.31436237,1.25585412,1.67804883,1.1238357,1.26027314,-1.28628956,-1.20759781,-1.11609499,0.14876708,0.12694261,0.13241536,-0.22988207,-0.58408777,-0.99501409,-0.5332703,-0.12653402,0.17755603,0.01214249,-1.03826505,-1.43945678,-0.12159946
n_331/260.0527mz/5.58min Aminoparathion,-1.40351183,-0.46081567,0.0160706,-0.79512485,-0.1789528,-0.83741753,-1.03773625,0.20019167,1.92358528,-1.52648704,-0.13257287,0.78164467,0.3350161,0.07672429,-1.75005831,-0.07889617,0.44637712,0.64208777,0.22751939,0.2483696,-0.28712205,0.4434963,-0.05946176,-0.91901488,1.81346694,2.3126223
n_653/891.0657mz/4.75min,0.002626856,0.611608253,1.365979501,1.16635612,1.221615453,1.578008935,1.443785396,0.519875803,-0.172404877,0.484145609,0.995259395,0.580724275,-0.19407337,-0.245931785,-0.466188593,-0.25573356,-0.279229922,-1.115650408,-0.110367535,0.023058939,-2.246180272,-1.206545027,-1.751671065,-0.272728917,-0.244286731,-1.432052473
n_365/292.0768mz/0.91min,0.214771843,0.044547133,0.764986073,0.236363929,0.428757909,0.006382715,0.95196948,2.282127673,0.621941213,2.883226818,0.377667511,-1.065702075,-0.913796801,-0.151690788,-0.532697901,0.166368836,-0.47820061,0.383828329,-0.462182129,-0.433700301,-0.534200349,-0.599131467,-0.476970699,-0.604120955,-1.475578651,-1.634966735
n_7/218.1020mz/4.31min Pantothenic acid,-0.502802,0.5140657,-0.7777578,-0.3970091,-0.1653981,-1.1364868,-2.7287338,1.1431192,1.1071141,1.2990219,0.5780846,1.1099468,1.0762023,-0.9320263,-0.7885832,-0.4359131,-0.8927405,-1.0790984,-0.4233947,-0.8185129,1.0789502,0.8532702,0.9669435,0.5635065,0.2143927,0.5738389
n_102/359.0718mz/1.61min,-1.58200681,0.22488456,-0.42830313,0.42034291,0.1904866,0.04545747,-1.51332682,-1.8383181,-1.18437021,-1.44687598,-1.14968124,-0.27488621,-0.17744752,0.08387254,0.26498721,0.97689681,0.64585997,-0.29811431,-0.5777873,1.27506135,0.98020292,1.65006891,1.32346188,0.20991014,0.86409142,1.31553293
n_323/115.0394mz/2.96min alpha-Ketoisovaleric acid,0.2774927,-0.8188554,0.074031,-1.2085647,-0.4002851,-0.7866582,0.6205343,-1.5281798,-1.6950066,-1.1387468,-0.4951107,-0.8054198,-1.2934472,2.2023175,1.9332619,0.1116941,0.9232686,1.0355376,1.1493077,0.4108392,-0.1043309,0.3476217,0.1286649,0.2627681,0.3829442,0.4143217
n_80/382.0994mz/4.39min Succinyladenosine,-1.21074736,-1.22262312,-1.1853568,0.42415634,-0.71116526,0.419686,-1.34341521,-1.30343714,-2.09529054,-0.22879001,0.71901367,0.65670775,0.70232164,-0.32139984,0.27823235,-0.26936018,0.28491813,-0.2063993,0.78191961,0.51731072,-0.04934891,0.33460007,0.13684694,1.69404928,2.31061537,0.8869558
n_429/539.1358mz/0.95min,-1.10222481,1.60970402,-1.97979603,-0.51586695,-0.32177754,-0.5266552,-0.98044121,0.65124958,0.23596675,0.11369151,-0.70111479,-0.12427925,0.20300029,-0.50406862,2.00590887,1.83796612,0.66701486,-0.86187538,-1.37008055,1.28272462,1.12136972,-0.04005902,0.61128834,-0.56228092,-0.25359386,-0.49577054
n_21/495.0989mz/4.34min,1.32885736,0.52408544,-0.30171993,1.36130297,0.86509355,0.71917554,0.1514769,0.86148792,-0.11314891,1.40569918,0.35698372,0.6922532,1.0186345,-0.94534308,0.22691984,-0.07777679,-0.7456503,-2.67637413,-0.9738497,-1.42656681,-0.38871374,0.47922274,0.06196767,-0.88299724,0.06919841,-1.59021831
n_40/117.0547mz/4.59min 3-Hydroxy-2-methyl-R-R;S-butanoic acid,0.29166282,1.24597414,-0.06398026,-0.23691442,0.55165797,-0.27686839,-0.53231114,-0.89382694,-0.30192175,-0.12894838,-0.73921798,0.32034935,-0.97672515,0.92534859,0.45397939,0.85232901,1.86511663,0.29916851,2.06392029,1.63289623,-1.17945452,-1.63797679,-1.40095763,-0.63509156,-1.12501787,-0.37319017
n_869/838.0686mz/4.76min,1.02495773,1.14907848,1.02480718,1.40269043,1.2074612,0.34088934,1.19260203,0.62483124,-0.4365206,0.60470623,0.79686273,0.77184219,0.51947458,0.05064473,-0.85057652,-0.38933469,-0.22404816,-1.53147451,0.24432626,-0.28117546,-1.83294617,-1.13113246,-1.50209757,-0.53466726,-0.39162138,-1.84957961
n_4/572.0778mz/1.26min,0.9726922,0.8254053,0.5958879,0.9613917,1.0338854,0.9267324,0.8766525,1.1036056,0.8240882,1.2305925,1.0424333,1.1038505,1.1206394,-1.0880131,-1.1425411,-0.8736257,-0.7086088,-0.9474083,-1.0111301,-0.9886543,-1.0076545,-0.9518158,-0.9827254,-1.0355343,-0.7888478,-1.0912976
n_501/615.1412mz/1.47min 3;5-Dicaffeoyl-4-succinoylquinic acid,0.21735103,-2.05356452,-0.10848898,-0.05958212,0.18694526,-0.25878349,0.05445222,-2.52858446,-2.05099715,-0.69534892,-0.25635602,-0.20815924,0.18884693,1.65871908,1.48786086,1.03741856,0.56173703,0.13021186,0.73731208,1.03108335,0.50357922,0.41677551,0.43243476,-0.76345297,-0.10622329,0.44481342
n_85/806.1239mz/4.76min,0.5542185,0.676802,0.8381471,1.2634061,1.1677241,1.3036917,0.962461,0.5985326,-0.1828288,0.6745021,0.987924,0.8545168,0.6838176,0.1122337,-0.3579856,-0.3958676,-0.1547539,-1.8694976,-0.2967911,-0.2659843,-1.848979,-1.3878407,-1.6471446,-0.5649593,-0.1044419,-1.600903
n_107/133.1055mz/1.12min,-1.61093243,0.11375335,-0.26690594,-0.9891531,0.41093995,-0.66001528,-1.35004109,0.52840191,0.73488661,0.70843119,-0.02954308,-2.1362326,-2.70677213,0.8630595,0.7355256,0.16216605,0.26724849,0.55964817,1.20046092,1.02785021,0.03010257,0.58671528,0.30324749,0.16826174,0.41606766,0.93282897
n_544/85.0295mz/4.28min Gamma-Butyrolactone,1.10484367,0.32148146,0.95216615,0.41370191,0.65620317,0.39269483,0.96096175,0.08579458,0.09642034,0.05034418,-0.43208191,-3.73007091,-1.24417611,-1.50730699,0.69915911,0.78519527,0.48597733,0.10192089,0.42455536,-0.26744077,-0.18534092,0.66341539,0.2379213,0.25196129,-0.86343899,-0.45486138
n_170/422.0851mz/1.50min,-1.72133895,-0.82579993,-0.75730376,0.25347962,-0.60734471,1.22363099,-0.85401478,-0.60934781,-0.69475038,-0.63555649,0.2380759,1.09644771,-0.77641706,0.04952176,-0.65914826,-0.47429879,-0.01866672,0.28377104,0.99212912,0.98454837,-0.11210622,-1.04591374,-0.49581833,1.75059703,2.72161583,0.69400855
n_92/405.0271mz/1.38min 2-hydroxy-5-3-4-methoxy-1-benzofuran-5-yl-3-oxopropanoylphenyloxidanesulfonic acid,-1.05489923,-0.56009251,0.05535896,-0.6349304,-0.8548353,-1.52752164,-0.25433313,-0.44635189,0.19859082,-1.40971132,0.17706137,-1.24958597,0.01377761,-0.05473216,0.47882365,-0.04436802,0.40487923,1.43210417,2.217684,1.02656172,-0.80750968,-0.61296321,-0.72703917,1.77345309,1.41709496,1.04348404
n_114/455.0952mz/4.99min Flavin Mononucleotide,1.276004737,0.708521166,-0.540974159,1.538242424,0.01645307,1.846890857,-1.468369982,-1.425775903,-1.162253754,0.656718229,1.120341067,1.263758392,0.698131938,-0.288079272,-0.534543777,-0.005611155,-1.111578586,-1.604727412,0.472251321,0.009029058,-0.126371963,-0.813530662,-0.455751033,-0.395883623,1.161211698,-0.834102677
